id,severity,status,category,title,evidence,impact,recommended_phase,confidence
F-001,High,Active,vector-memory-placement,VLOAD/VSTORE materialize memory side effects as Vector/ALU and IsMemoryOp=false,"InstructionRegistry.Initialize.Vector.cs:21-24; InstructionRegistry.Helpers.Vector.cs:162-180; VectorMicroOps.cs:48-58; VectorMicroOps.Data.cs:727-755,773-812",Scheduler/admission can see an ALU/vector carrier while the operation performs BurstIO read/write and publishes memory ranges.,P1/P2,High
F-002,High,Active,vector-memory-fallback,Vector segment and 2D memory micro-ops inherit ALU placement and contain fallback/no-op success paths,"VectorMicroOps.cs:48-58; VectorMicroOps.Memory.cs:18-39,41-92,104-158,722-812,817-876",Memory reads/writes can bypass the LSU slot taxonomy; store ops with missing buffers can complete successfully without architectural writes.,P2,High
F-003,High,Active,matrix-tile-authority,Matrix/tile contour is opened but its slot authority remains ALU for MTILE_LOAD/STORE,"InstructionRegistry.Helpers.MatrixTile.cs:12-15,53-72,142-147; MatrixTileMicroOps.cs:71,128-143,476-484; Phase03FallbackTransportSummaryTailTests failed for MTILE_*","Runtime materialization, compiler positive emission, and older fail-closed tests disagree on whether matrix/tile is executable and which physical class owns load/store.",P3/P4,High
F-004,Medium,Active,compiler-facade-abi,App facade phase-01 ABI tests conflict with newly published matrix helper methods,IAppAsmFacade.cs:96-113; AppAsmFacade.cs:684-721; CompilerFacadeAbiPhase01Tests.cs:288-354; Phase12FacadeFamilyDeprecationTests.cs:60-79,Public compiler surface is neither a frozen compatibility facade nor a fully migrated runtime handoff boundary.,P5,High
F-005,Medium,Active,test-authority-drift,Test suite contains stale negative/skip assumptions for already registered/opened contours,"Phase03CarrierProjectionTransportTailTests.cs:611,640; OpcodeInfo.Registry.Data.Vector.cs:69-74; Phase10MatrixTileRetirePublicationTests.cs:18-76; Phase12MatrixTilePositiveGoldenArtifactTests.cs:129-144",Tests currently obscure whether VLOAD/VSTORE and MTILE are intentionally open or accidentally reopened.,P0/P6,High
F-006,Medium,Latent,memory-taxonomy,"IsMemoryOp is overloaded and no longer matches memory ranges, ordering, or physical resource ownership","MicroOpAdmissionMetadata.cs:14-30,98-103; InstructionRegistry.Types.cs:159-192; VectorMicroOps.Data.cs:739-755; VectorMicroOps.Memory.cs:178-190,884-907; DmaStreamComputeMicroOp.cs:42-53","Consumers can accidentally treat 'memory operation', 'memory footprint', 'ordering', and 'slot class' as the same predicate.",P1/P3,High
F-007,Medium,Latent,classifier-default,InstructionClassifier falls through to ScalarAlu/Free for unlisted opcodes,"InstructionClassifier.cs:26-40,233-234,248-262,373-374; InstructionRegistry.Runtime.cs:70-87,106-107","Registry materialization can fail closed, but classifier-only consumers still receive permissive defaults unless registry semantics are authoritative everywhere.",P3/P6,Medium
F-008,Medium,Active,compiler-test-anchor,CLMUL compiler test anchor expects contract text in the wrong source surface,Phase03ScalarCarryLessClmulExecutableTests expected CompilerDeferredScalarAbiContract; CompilerDeferredScalarAbiContract.cs:16-318,"The suite fails even though the named contract exists, suggesting test-source selection drift rather than a missing contract type.",P6,Medium
F-009,Low,Active,environment-reproducibility,global.json SDK pin differs from selected local dotnet SDK,global.json:3; dotnet --version observed 10.0.204,Audit baseline is reproducible only if SDK roll-forward behavior is accepted or the pinned SDK is installed.,P0,High
F-010,Low,Confirmed-good,lane6-lane7-vmx,"Lane6 DSC, Lane7 SDC, and VMX have strong hard-pinning evidence","DmaStreamComputeMicroOp.cs:42-53,121-149; SystemDeviceCommandMicroOp.cs:57-67,196-255; MicroOp.IO.cs:139-164; SlotClassDefinitions.cs:173-196",These contours should be protected as anchors while vector/matrix taxonomy is repaired.,P0/P6,High
