symbol,kind,relpath,line,snippet
VMX,usage,forms/Form_Hybrid_CPU/Form_Hybrid_CPU.Designer.cs,1464,"tabPage_VMX.Text = ""VMX"";"
MemorySubsystem,usage,forms/Form_Main.MemorySubsystem/Form_Hybrid_CPU.cs,34,"/// Usage: InvokeHostedModuleMethod(""Form_Main.MemorySubsystem"", ""RefreshMemorySubsystemStats"");"
MemorySubsystem,usage,forms/Form_Main.MemorySubsystem/Form_Hybrid_CPU.cs,80,"/// Usage: InvokeHostedModuleMethod(""Form_Main.MemorySubsystem"", ""RefreshMemoryConfig"");"
VMX,usage,forms/Form_Main.VMXView/Form_Hybrid_CPU.Designer.cs,37,"this.groupBox_VMXView_State.Text = ""VMX State (VMLAUNCH/VMRESUME/VMEXIT)"";"
VMX,usage,forms/Form_Main.VMXView/Form_Main.VMXView.cs,12,/// ISA v2: VMX/VMCS removed from architecture — replaced by CSR-based hypervisor controls.
VMX,usage,forms/Form_Main.VMXView/Form_Main.VMXView.cs,26,"listView_VMCS_Fields.Items.Add(new ListViewItem(new[] { ""Status"", ""VMX removed from ISA v2 — use CSR-based hypervisor controls"" }));"
ACCEL,usage,HybridCPU_Compiler/API/Threading/HybridCpuThreadCompilerContext.cs,157,"""ACCEL_SUBMIT lowering decision did not carry an accelerator command."");"
ACCEL,usage,HybridCPU_Compiler/API/Threading/HybridCpuThreadCompilerContext.cs,189,"""ACCEL_SUBMIT compiler emission cannot carry a runtime fallback promise."");"
ACCEL,usage,HybridCPU_Compiler/API/Threading/HybridCpuThreadCompilerContext.cs,196,const uint opCode = (uint)InstructionsEnum.ACCEL_SUBMIT;
ACCEL,usage,HybridCPU_Compiler/API/Threading/HybridCpuThreadCompilerContext.cs,526,"""L7-SDC compiler emission requires guard-backed owner/domain acceptance before ACCEL_SUBMIT emission. "" +"
ACCEL,usage,HybridCPU_Compiler/Core/IR/Construction/HybridCpuIrBuilder.cs,207,if (opcode != InstructionsEnum.ACCEL_SUBMIT ||
ACCEL,usage,HybridCPU_Compiler/Core/IR/Construction/HybridCpuIrBuilder.cs,211,"""Compiler L7-SDC emission requires explicit accelerator intent and typed ACCEL_SUBMIT descriptor sideband before native opcode emission."");"
VMX,mention,HybridCPU_Compiler/Core/IR/Hazards/HybridCpuHazardModel.cs,64,InstructionClass.Vmx)
VMX,mention,HybridCPU_Compiler/Core/IR/Hazards/HybridCpuOpcodeSemantics.cs,141,InstructionClass.Vmx)
VMX,mention,HybridCPU_Compiler/Core/IR/Hazards/HybridCpuOpcodeSemantics.cs,150,InstructionClass.Vmx;
VMX,usage,HybridCPU_Compiler/Core/IR/Model/CompilerLane7CacheTlbIommuAbiContract.cs,174,"""privilege, address-space selector, TLB shootdown, replay, retire-owned publication, and no VMX/EPT/VPID/NPT alias ABI decisions"","
VMX,usage,HybridCPU_Compiler/Core/IR/Model/CompilerLane7CacheTlbIommuAbiContract.cs,180,"""IOTLB invalidation, device-domain authority, DMA visibility, Lane6 token, quiescence, replay, retire-owned publication, and no VMX/EPT/VPID/NPT alias ABI decisions"","
VMX,usage,HybridCPU_Compiler/Core/IR/Model/CompilerLane7CacheTlbIommuAbiContract.cs,182,"""IOMMU fence completion, device-domain authority, DMA visibility, Lane6 token, quiescence, replay, retire-owned publication, and no VMX/EPT/VPID/NPT alias ABI decisions"","
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/CompilerLane7DeferredAbiContract.cs,530,"""ACCEL_QUERY_ABI"","
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/CompilerLane7DeferredAbiContract.cs,540,"""ACCEL_QUERY_TOPOLOGY"","
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/CompilerLane7DeferredAbiContract.cs,550,"""ACCEL_OPEN"","
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/CompilerLane7DeferredAbiContract.cs,557,"""ACCEL_CLOSE"","
ACCEL,usage,HybridCPU_Compiler/Core/IR/Model/CompilerLane7DeferredAbiContract.cs,564,"""ACCEL_BIND_QUEUE"","
